車両ID-01,車両ID-02,車両ID-03,車両ID-04,車両ID-05,車両ID-06,車両ID-07,車両ID-08,車両ID-09,車両ID-10,車両ID-11,車両ID-12,車両ID-13,車両ID-14,日付,スタンプ,記述
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
kh40-579,,,,,,,,,,,,,,2016/02/15,joto,ミャンマーに譲渡
kh40-549,kh40-578,kh40-581,,,,,,,,,,,,2016/02/17,joto,ミャンマーに譲渡
kh40-542,kh40-2022,kh40-2025,,,,,,,,,,,,2016/02/23,joto,ミャンマーに譲渡
e233-1769,e233-1770,,,,,,,,,,,,,2016/12/04,haisya,衝突事故で脱線・大破した2両がTKにて廃車。
313-5007,313-5008,313-5009,313-5010,313-5011,313-5012,,,,,,,,,2017/03/06,other,踏切事故に伴い運用離脱
e231-5496,e231-5497,e231-5498,e231-5499,e231-5500,e231-5501,e231-6046,e231-5503,e231-5504,e231-4646,e231-5506,,,,2017/07/17,toso,すみっコぐらし×やまのてせんラッピング
e231-5496,e231-5497,e231-5498,e231-5499,e231-5500,e231-5501,e231-6046,e231-5503,e231-5504,e231-4646,e231-5506,,,,2017/08/01,toso,ラッピング終了
e653-36,e653-37,e653-38,e653-39,e653-40,e653-41,e653-42,,,,,,,,2017/10/27,toso,瑠璃色に塗装変更
kh40-2085,,,,,,,,,,,,,,2017/08/⁇,toso,東北地域本社色に戻る
e653-43,e653-44,e653-45,e653-46,e653-47,e653-48,e653-49,,,,,,,,2017/12/29,toso,ハナマス色に塗装変更
kh40-2085,,,,,,,,,,,,,,2018/03/30,toso,只見ユネスコパークラッピング2代目
e233-1761,e233-1762,e233-1763,e233-1764,e233-1765,e233-1766,e233-1767,e233-1768,,,,,,,2018/04/07,haisya,残り8両もTKにて廃車。
e231-5485,e231-5486,e231-5487,e231-5488,e231-5489,e231-5490,e231-6045,e231-5492,e231-5493,e231-4645,e231-5495,,,,2018/08/01,toso,リラックマごゆるり号ラッピング
e231-5485,e231-5486,e231-5487,e231-5488,e231-5489,e231-5490,e231-6045,e231-5492,e231-5493,e231-4645,e231-5495,,,,2018/08/15,toso,ラッピング終了
209-3006,209-3007,,,,,,,,,,,,,2018/08/28,tenkai,KY訓練車として改造。
209-3005,209-3008,,,,,,,,,,,,,2018/08/28,haisya,KYにて廃車。
e653-113,e653-114,e653-115,e653-53,e653-54,e653-55,e653-116,,,,,,,,2018/11/07,tenzoku,国鉄特急色塗装にし、K70編成として勝田車両センターに転属。
313-5007,313-5008,,,,,,,,,,,,,2019/09/30,kaizo,復旧改造し、それぞれ+100に改番。
313-5007,313-5008,313-5009,313-5010,313-5011,313-5012,,,,,,,,,2019/09/30,sosei,運用復帰
khe120-1,,,,,,,,,,,,,,2019/12/11,tenzoku,郡山総合車両センター会津若松派出所に転属
khe120-2,,,,,,,,,,,,,,2019/12/21,tenzoku,郡山総合車両センター会津若松派出所に転属
khe120-7,,,,,,,,,,,,,,2019/12/28,tenzoku,郡山総合車両センター会津若松派出所に転属
